Date,Team 1,Team 2,Team 1 Score,Team 2 Score,Game Type
2015 Wk12,Los Angeles Wildcats,Vegas Knight Hawks,124.8,130.9,Season
2015 Wk12,Northern Arizona Wranglers,Brooklyn Bolts,126.6,115.7,Season
2015 Wk12,Tucson Sugar Skulls,Miami Inferno,98.8,113.5,Season
2015 Wk12,Cedar Rapids Titans,Cleveland Gladiators,92.9,119,Season
2015 Wk12,Chicago Slaughter,Milwaukee Mustangs,149,165.2,Season
2015 Wk13,Vegas Knight Hawks,Philadelphia Soul,136.2,159.4,Season
2015 Wk13,Boston Brawlers,Los Angeles Wildcats,104.5,129.5,Season
2015 Wk13,Miami Inferno,Northern Arizona Wranglers,129,132.5,Season
2015 Wk13,Brooklyn Bolts,Tucson Sugar Skulls,128,119,Season
2015 Wk13,Milwaukee Mustangs,Cedar Rapids Titans,128.8,112.1,Season
2015 Wk13,Cleveland Gladiators,Chicago Slaughter,96.1,106.4,Season
2015 Wk14,Northern Arizona Wranglers,Chicago Slaughter,112,91.4,Playoffs
2015 Wk14,Boston Brawlers,Vegas Knight Hawks,76.6,107.8,Playoffs
2015 Wk14,Cleveland Gladiators,Philadelphia Soul,102.9,126.7,Consolation
2015 Wk14,Miami Inferno,Tucson Sugar Skulls,107.1,105.9,Consolation
2015 Wk14,Los Angeles Wildcats,Cedar Rapids Titans,121.4,138.8,Consolation
2015 Wk15,Northern Arizona Wranglers,Milwaukee Mustangs,143.8,144.7,Playoffs
2015 Wk15,Vegas Knight Hawks,Brooklyn Bolts,142.6,112.2,Playoffs
2015 Wk15,Boston Brawlers,Chicago Slaughter,130.7,133.5,Consolation
2015 Wk15,Miami Inferno,Philadelphia Soul,143.6,110.5,Consolation
2015 Wk15,Cedar Rapids Titans,Cleveland Gladiators,146.3,106.8,Consolation
2015 Wk15,Los Angeles Wildcats,Tucson Sugar Skulls,130.4,89.9,Consolation
2015 Wk16,Vegas Knight Hawks,Milwaukee Mustangs,142.8,100.5,Playoffs
2015 Wk16,Northern Arizona Wranglers,Brooklyn Bolts,129,136.9,Consolation
2015 Wk16,Boston Brawlers,Chicago Slaughter,114.8,121,Consolation
2015 Wk16,Cedar Rapids Titans,Miami Inferno,100.3,107.6,Consolation
2015 Wk16,Los Angeles Wildcats,Philadelphia Soul,96.1,115.2,Consolation
2015 Wk16,Tucson Sugar Skulls,Cleveland Gladiators,89.8,93.8,Consolation
2016 Wk1,Cedar Rapids Titans,Philadelphia Soul,109.1,119.4,Season
2016 Wk1,Los Angeles Wildcats,Brooklyn Bolts,146.5,94,Season
2016 Wk1,Tucson Sugar Skulls,Cleveland Gladiators,120.3,149.9,Season
2016 Wk1,Vegas Knight Hawks,Milwaukee Mustangs,98.6,152.4,Season
2016 Wk1,Northern Arizona Wranglers,Chicago Slaughter,146.1,120.5,Season
2016 Wk1,Boston Brawlers,Miami Inferno,114.5,153.2,Season
2016 Wk2,Philadelphia Soul,Vegas Knight Hawks,106.8,155,Season
2016 Wk2,Los Angeles Wildcats,Boston Brawlers,115,126.1,Season
2016 Wk2,Cleveland Gladiators,Milwaukee Mustangs,133.1,102.2,Season
2016 Wk2,Cedar Rapids Titans,Chicago Slaughter,136.2,93.8,Season
2016 Wk2,Miami Inferno,Brooklyn Bolts,142.6,131,Season
2016 Wk2,Tucson Sugar Skulls,Northern Arizona Wranglers,108.6,115.7,Season
2016 Wk3,Milwaukee Mustangs,Philadelphia Soul,118.8,80.5,Season
2016 Wk3,Northern Arizona Wranglers,Los Angeles Wildcats,118.5,51.4,Season
2016 Wk3,Vegas Knight Hawks,Cleveland Gladiators,62,102.6,Season
2016 Wk3,Miami Inferno,Cedar Rapids Titans,138,116.8,Season
2016 Wk3,Chicago Slaughter,Brooklyn Bolts,161.4,94.6,Season
2016 Wk3,Boston Brawlers,Tucson Sugar Skulls,157.1,93.2,Season
2016 Wk4,Philadelphia Soul,Boston Brawlers,107.2,128.9,Season
2016 Wk4,Vegas Knight Hawks,Los Angeles Wildcats,110.1,108.3,Season
2016 Wk4,Milwaukee Mustangs,Cedar Rapids Titans,99.2,119.8,Season
2016 Wk4,Cleveland Gladiators,Chicago Slaughter,124.1,109,Season
2016 Wk4,Brooklyn Bolts,Tucson Sugar Skulls,151.2,112.4,Season
2016 Wk4,Miami Inferno,Northern Arizona Wranglers,89.4,88.6,Season
2016 Wk5,Northern Arizona Wranglers,Vegas Knight Hawks,116.9,147.9,Season
2016 Wk5,Chicago Slaughter,Boston Brawlers,106.7,86.1,Season
2016 Wk5,Los Angeles Wildcats,Milwaukee Mustangs,102.4,99,Season
2016 Wk5,Brooklyn Bolts,Cedar Rapids Titans,102.6,118.1,Season
2016 Wk5,Cleveland Gladiators,Miami Inferno,137.4,144.8,Season
2016 Wk5,Philadelphia Soul,Tucson Sugar Skulls,119.4,166.1,Season
2016 Wk6,Chicago Slaughter,Philadelphia Soul,128.2,135.2,Season
2016 Wk6,Miami Inferno,Los Angeles Wildcats,179.1,117.3,Season
2016 Wk6,Vegas Knight Hawks,Cedar Rapids Titans,113.3,119.4,Season
2016 Wk6,Cleveland Gladiators,Brooklyn Bolts,122.2,95.1,Season
2016 Wk6,Milwaukee Mustangs,Tucson Sugar Skulls,98.3,96.6,Season
2016 Wk6,Boston Brawlers,Northern Arizona Wranglers,89.4,162.6,Season
2016 Wk7,Boston Brawlers,Vegas Knight Hawks,156.5,121.4,Season
2016 Wk7,Los Angeles Wildcats,Philadelphia Soul,142.5,84,Season
2016 Wk7,Cedar Rapids Titans,Cleveland Gladiators,86,101.1,Season
2016 Wk7,Chicago Slaughter,Milwaukee Mustangs,123.2,96.4,Season
2016 Wk7,Tucson Sugar Skulls,Miami Inferno,117,151.9,Season
2016 Wk7,Northern Arizona Wranglers,Miami Inferno,72.5,126.4,Season
2016 Wk8,Chicago Slaughter,Vegas Knight Hawks,124.2,108.4,Season
2016 Wk8,Cedar Rapids Titans,Boston Brawlers,113,134.2,Season
2016 Wk8,Tucson Sugar Skulls,Los Angeles Wildcats,118.4,125.4,Season
2016 Wk8,Northern Arizona Wranglers,Cleveland Gladiators,129.8,101.1,Season
2016 Wk8,Brooklyn Bolts,Milwaukee Mustangs,123.2,181.7,Season
2016 Wk8,Philadelphia Soul,Miami Inferno,118.1,108.6,Season
2016 Wk9,Vegas Knight Hawks,Philadelphia Soul,113.3,95.1,Season
2016 Wk9,Boston Brawlers,Los Angeles Wildcats,138.9,112.8,Season
2016 Wk9,Milwaukee Mustangs,Cleveland Gladiators,97.8,167.8,Season
2016 Wk9,Chicago Slaughter,Cedar Rapids Titans,98.9,137.2,Season
2016 Wk9,Brooklyn Bolts,Miami Inferno,162.2,125.3,Season
2016 Wk9,Northern Arizona Wranglers,Tucson Sugar Skulls,80.8,82.1,Season
2016 Wk10,Cleveland Gladiators,Philadelphia Soul,132.2,112.7,Season
2016 Wk10,Los Angeles Wildcats,Chicago Slaughter,136.8,122.3,Season
2016 Wk10,Vegas Knight Hawks,Miami Inferno,131,109.8,Season
2016 Wk10,Boston Brawlers,Brooklyn Bolts,126.4,94.2,Season
2016 Wk10,Cedar Rapids Titans,Tucson Sugar Skulls,104,109.8,Season
2016 Wk10,Milwaukee Mustangs,Northern Arizona Wranglers,166.4,94.6,Season
2016 Wk11,Brooklyn Bolts,Vegas Knight Hawks,92.8,135.5,Season
2016 Wk11,Cleveland Gladiators,Boston Brawlers,147.6,114.3,Season
2016 Wk11,Miami Inferno,Milwaukee Mustangs,114.2,115,Season
2016 Wk11,Los Angeles Wildcats,Cedar Rapids Titans,97.1,112.9,Season
2016 Wk11,Tucson Sugar Skulls,Chicago Slaughter,78.5,125.4,Season
2016 Wk11,Philadelphia Soul,Northern Arizona Wranglers,101.7,126.6,Season
2016 Wk12,Vegas Knight Hawks,Boston Brawlers,128.8,147.5,Season
2016 Wk12,Philadelphia Soul,Los Angeles Wildcats,130.4,87.2,Season
2016 Wk12,Cleveland Gladiators,Cedar Rapids Titans,104.6,149.9,Season
2016 Wk12,Milwaukee Mustangs,Chicago Slaughter,117.7,140.3,Season
2016 Wk12,Miami Inferno,Tucson Sugar Skulls,159.6,80.5,Season
2016 Wk12,Brooklyn Bolts,Northern Arizona Wranglers,102,106.3,Season
2016 Wk13,Los Angeles Wildcats,Vegas Knight Hawks,109.1,102.5,Season
2016 Wk13,Boston Brawlers,Philadelphia Soul,116.1,121.7,Season
2016 Wk13,Chicago Slaughter,Cleveland Gladiators,144.7,114.5,Season
2016 Wk13,Cedar Rapids Titans,Milwaukee Mustangs,130.8,142.3,Season
2016 Wk13,Northern Arizona Wranglers,Miami Inferno,82.8,105.7,Season
2016 Wk13,Tucson Sugar Skulls,Brooklyn Bolts,69.3,123.2,Season
2016 Wk14,Milwaukee Mustangs,Chicago Slaughter,94.6,87.3,Playoffs
2016 Wk14,Cedar Rapids Titans,Boston Brawlers,127.2,84.2,Playoffs
2016 Wk14,Vegas Knight Hawks,Brooklyn Bolts,121.5,89.6,Consolation
2016 Wk14,Los Angeles Wildcats,Northern Arizona Wranglers,88.4,97.9,Consolation
2016 Wk14,Philadelphia Soul,Tucson Sugar Skulls,108.4,88.9,Consolation
2016 Wk15,Cedar Rapids Titans,Miami Inferno,98.3,178.5,Playoffs
2016 Wk15,Milwaukee Mustangs,Cleveland Gladiators,98.3,117.5,Playoffs
2016 Wk15,Chicago Slaughter,Boston Brawlers,126.3,126,Consolation
2016 Wk15,Vegas Knight Hawks,Northern Arizona Wranglers,107.7,98.4,Consolation
2016 Wk15,Brooklyn Bolts,Philadelphia Soul,107.7,73.2,Consolation
2016 Wk15,Tucson Sugar Skulls,Los Angeles Wildcats,64,99.3,Consolation
2016 Wk16,Cleveland Gladiators,Miami Inferno,109.7,155.2,Playoffs
2016 Wk16,Cedar Rapids Titans,Milwaukee Mustangs,140.9,71.1,Consolation
2016 Wk16,Chicago Slaughter,Boston Brawlers,162.1,86.8,Consolation
2016 Wk16,Brooklyn Bolts,Vegas Knight Hawks,110.5,115.8,Consolation
2016 Wk16,Los Angeles Wildcats,Northern Arizona Wranglers,107,54,Consolation
2016 Wk16,Tucson Sugar Skulls,Philadelphia Soul,98.7,159.1,Consolation
2017 Wk1,Cedar Rapids Titans,Philadelphia Soul,87.1,139.9,Season
2017 Wk1,Los Angeles Wildcats,Brooklyn Bolts,90.3,119.4,Season
2017 Wk1,Vegas Knight Hawks,Cleveland Gladiators,90.7,117.8,Season
2017 Wk1,Tucson Sugar Skulls,Milwaukee Mustangs,125.6,82.9,Season
2017 Wk1,Northern Arizona Wranglers,Chicago Slaughter,134.3,98.2,Season
2017 Wk1,Boston Brawlers,Miami Inferno,89.9,112.5,Season
2017 Wk2,Philadelphia Soul,Tucson Sugar Skulls,104.4,99.8,Season
2017 Wk2,Los Angeles Wildcats,Boston Brawlers,106.9,111.3,Season
2017 Wk2,Cleveland Gladiators,Milwaukee Mustangs,110.5,115.1,Season
2017 Wk2,Cedar Rapids Titans,Chicago Slaughter,120.9,129.7,Season
2017 Wk2,Miami Inferno,Brooklyn Bolts,115,80.3,Season
2017 Wk2,Vegas Knight Hawks,Northern Arizona Wranglers,104.4,158.7,Season
2017 Wk3,Milwaukee Mustangs,Philadelphia Soul,97.9,100.4,Season
2017 Wk3,Northern Arizona Wranglers,Los Angeles Wildcats,112.1,90.7,Season
2017 Wk3,Tucson Sugar Skulls,Cleveland Gladiators,127.9,100.2,Season
2017 Wk3,Miami Inferno,Cedar Rapids Titans,131.2,111.7,Season
2017 Wk3,Chicago Slaughter,Brooklyn Bolts,110.4,151.6,Season
2017 Wk3,Boston Brawlers,Vegas Knight Hawks,134.7,119.1,Season
2017 Wk4,Philadelphia Soul,Boston Brawlers,105.6,122.1,Season
2017 Wk4,Tucson Sugar Skulls,Los Angeles Wildcats,116.7,119,Season
2017 Wk4,Milwaukee Mustangs,Cedar Rapids Titans,89.2,95.1,Season
2017 Wk4,Cleveland Gladiators,Chicago Slaughter,119.4,146.4,Season
2017 Wk4,Brooklyn Bolts,Vegas Knight Hawks,113.6,121.4,Season
2017 Wk4,Miami Inferno,Northern Arizona Wranglers,144.6,74.3,Season
2017 Wk5,Northern Arizona Wranglers,Tucson Sugar Skulls,117.4,97.2,Season
2017 Wk5,Cleveland Gladiators,Boston Brawlers,151.3,127.8,Season
2017 Wk5,Los Angeles Wildcats,Milwaukee Mustangs,114.6,105.9,Season
2017 Wk5,Brooklyn Bolts,Cedar Rapids Titans,117.6,117.7,Season
2017 Wk5,Chicago Slaughter,Miami Inferno,105.2,88.8,Season
2017 Wk5,Philadelphia Soul,Vegas Knight Hawks,150.3,107.7,Season
2017 Wk6,Chicago Slaughter,Philadelphia Soul,102,123.5,Season
2017 Wk6,Miami Inferno,Los Angeles Wildcats,105,97.2,Season
2017 Wk6,Tucson Sugar Skulls,Cedar Rapids Titans,136.7,87.7,Season
2017 Wk6,Cleveland Gladiators,Brooklyn Bolts,142.5,122.2,Season
2017 Wk6,Milwaukee Mustangs,Vegas Knight Hawks,123.7,116.9,Season
2017 Wk6,Boston Brawlers,Northern Arizona Wranglers,118.9,97.5,Season
2017 Wk7,Boston Brawlers,Tucson Sugar Skulls,97,132.3,Season
2017 Wk7,Los Angeles Wildcats,Philadelphia Soul,78.9,110.1,Season
2017 Wk7,Cedar Rapids Titans,Cleveland Gladiators,94.6,153,Season
2017 Wk7,Chicago Slaughter,Milwaukee Mustangs,71.4,113.1,Season
2017 Wk7,Vegas Knight Hawks,Miami Inferno,93.3,171.1,Season
2017 Wk7,Northern Arizona Wranglers,Brooklyn Bolts,99.8,117,Season
2017 Wk8,Chicago Slaughter,Tucson Sugar Skulls,134.7,139.3,Season
2017 Wk8,Cedar Rapids Titans,Boston Brawlers,107,146.5,Season
2017 Wk8,Vegas Knight Hawks,Los Angeles Wildcats,93.2,96.7,Season
2017 Wk8,Northern Arizona Wranglers,Cleveland Gladiators,105,143.1,Season
2017 Wk8,Brooklyn Bolts,Milwaukee Mustangs,110.7,109.9,Season
2017 Wk8,Philadelphia Soul,Miami Inferno,134.7,76,Season
2017 Wk9,Tucson Sugar Skulls,Philadelphia Soul,118.9,96.2,Season
2017 Wk9,Boston Brawlers,Los Angeles Wildcats,134.2,94.8,Season
2017 Wk9,Milwaukee Mustangs,Cleveland Gladiators,100.1,123.8,Season
2017 Wk9,Chicago Slaughter,Cedar Rapids Titans,103.9,116.6,Season
2017 Wk9,Brooklyn Bolts,Miami Inferno,117.1,124.6,Season
2017 Wk9,Northern Arizona Wranglers,Vegas Knight Hawks,92,95.2,Season
2017 Wk10,Cleveland Gladiators,Philadelphia Soul,126.1,94.4,Season
2017 Wk10,Los Angeles Wildcats,Chicago Slaughter,75.2,108.7,Season
2017 Wk10,Tucson Sugar Skulls,Miami Inferno,151.9,133.9,Season
2017 Wk10,Boston Brawlers,Brooklyn Bolts,92.1,115.3,Season
2017 Wk10,Cedar Rapids Titans,Vegas Knight Hawks,111.6,122.8,Season
2017 Wk10,Milwaukee Mustangs,Northern Arizona Wranglers,123.2,126.6,Season
2017 Wk11,Brooklyn Bolts,Tucson Sugar Skulls,103.5,135,Season
2017 Wk11,Cleveland Gladiators,Miami Inferno,143.8,93.5,Season
2017 Wk11,Boston Brawlers,Milwaukee Mustangs,112.4,104.6,Season
2017 Wk11,Los Angeles Wildcats,Cedar Rapids Titans,93.4,126.3,Season
2017 Wk11,Vegas Knight Hawks,Chicago Slaughter,135,151,Season
2017 Wk11,Philadelphia Soul,Northern Arizona Wranglers,144.9,132.3,Season
2017 Wk12,Tucson Sugar Skulls,Boston Brawlers,88.4,95.6,Season
2017 Wk12,Philadelphia Soul,Los Angeles Wildcats,111.2,117.2,Season
2017 Wk12,Cleveland Gladiators,Cedar Rapids Titans,148.5,112.1,Season
2017 Wk12,Milwaukee Mustangs,Chicago Slaughter,127.4,131.1,Season
2017 Wk12,Miami Inferno,Vegas Knight Hawks,90.1,103.7,Season
2017 Wk12,Brooklyn Bolts,Northern Arizona Wranglers,116.8,147.2,Season
2017 Wk13,Los Angeles Wildcats,Tucson Sugar Skulls,110.4,150.8,Season
2017 Wk13,Boston Brawlers,Philadelphia Soul,116.2,117.3,Season
2017 Wk13,Chicago Slaughter,Cleveland Gladiators,96.3,144.3,Season
2017 Wk13,Cedar Rapids Titans,Milwaukee Mustangs,78.2,131.9,Season
2017 Wk13,Northern Arizona Wranglers,Miami Inferno,97.5,133.7,Season
2017 Wk13,Vegas Knight Hawks,Brooklyn Bolts,91.9,124.1,Season
2017 Wk14,Boston Brawlers,Philadelphia Soul,123.7,138.9,Playoffs
2017 Wk14,Brooklyn Bolts,Miami Inferno,121.7,140.9,Playoffs
2017 Wk14,Chicago Slaughter,Northern Arizona Wranglers,107.2,147.8,Consolation
2017 Wk14,Vegas Knight Hawks,Milwaukee Mustangs,140.9,95.2,Consolation
2017 Wk14,Los Angeles Wildcats,Cedar Rapids Titans,73.3,78.6,Consolation
2017 Wk15,Philadelphia Soul,Cleveland Gladiators,137.6,104.8,Playoffs
2017 Wk15,Miami Inferno,Tucson Sugar Skulls,180.1,90.9,Playoffs
2017 Wk15,Brooklyn Bolts,Boston Brawlers,133,112.4,Consolation
2017 Wk15,Vegas Knight Hawks,Northern Arizona Wranglers,103.2,98.3,Consolation
2017 Wk15,Cedar Rapids Titans,Chicago Slaughter,126.4,144.3,Consolation
2017 Wk15,Los Angeles Wildcats,Milwaukee Mustangs,99.1,99.3,Consolation
2017 Wk16,Philadelphia Soul,Miami Inferno,94.5,148.5,Playoffs
2017 Wk16,Tucson Sugar Skulls,Cleveland Gladiators,131.3,112.9,Consolation
2017 Wk16,Brooklyn Bolts,Boston Brawlers,109.3,138.3,Consolation
2017 Wk16,Vegas Knight Hawks,Chicago Slaughter,89,116.1,Consolation
2017 Wk16,Milwaukee Mustangs,Northern Arizona Wranglers,124.4,68.7,Consolation
2017 Wk16,Los Angeles Wildcats,Cedar Rapids Titans,97.3,93.5,Consolation
2018 Wk1,Chicago Slaughter,Milwaukee Mustangs,160.8,181.1,Season
2018 Wk1,Philadelphia Soul,Miami Inferno,153.2,155.7,Season
2018 Wk1,Tucson Sugar Skulls,Cleveland Gladiators,131.8,133.4,Season
2018 Wk1,Los Angeles Wildcats,Northern Arizona Wranglers,175.7,134,Season
2018 Wk1,Cedar Rapids Titans,Vegas Knight Hawks,172.5,170.2,Season
2018 Wk2,Cleveland Gladiators,Chicago Slaughter,99.3,179.1,Season
2018 Wk2,Miami Inferno,Milwaukee Mustangs,173.8,186.6,Season
2018 Wk2,Cedar Rapids Titans,Tucson Sugar Skulls,171,160.6,Season
2018 Wk2,Vegas Knight Hawks,Los Angeles Wildcats,198.2,143.4,Season
2018 Wk2,Northern Arizona Wranglers,Philadelphia Soul,139.8,172.1,Season
2018 Wk3,Northern Arizona Wranglers,Cedar Rapids Titans,160.9,150.8,Season
2018 Wk3,Cleveland Gladiators,Miami Inferno,135.1,147.5,Season
2018 Wk3,Milwaukee Mustangs,Philadelphia Soul,190.3,102.9,Season
2018 Wk3,Los Angeles Wildcats,Chicago Slaughter,150.2,142,Season
2018 Wk3,Tucson Sugar Skulls,Vegas Knight Hawks,182.9,159.9,Season
2018 Wk4,Tucson Sugar Skulls,Northern Arizona Wranglers,226.5,159.5,Season
2018 Wk4,Chicago Slaughter,Philadelphia Soul,168,164.6,Season
2018 Wk4,Miami Inferno,Vegas Knight Hawks,147.5,176.2,Season
2018 Wk4,Milwaukee Mustangs,Cleveland Gladiators,169,146.1,Season
2018 Wk4,Cedar Rapids Titans,Los Angeles Wildcats,151.1,144.1,Season
2018 Wk5,Milwaukee Mustangs,Cedar Rapids Titans,155.1,181.6,Season
2018 Wk5,Chicago Slaughter,Miami Inferno,177.7,120.4,Season
2018 Wk5,Vegas Knight Hawks,Northern Arizona Wranglers,217.1,132.7,Season
2018 Wk5,Philadelphia Soul,Cleveland Gladiators,140.5,147.2,Season
2018 Wk5,Los Angeles Wildcats,Tucson Sugar Skulls,144.7,149.9,Season
2018 Wk6,Los Angeles Wildcats,Vegas Knight Hawks,124.9,164,Season
2018 Wk6,Milwaukee Mustangs,Chicago Slaughter,162.7,191.4,Season
2018 Wk6,Miami Inferno,Cleveland Gladiators,133.4,148,Season
2018 Wk6,Tucson Sugar Skulls,Philadelphia Soul,135.9,130.9,Season
2018 Wk6,Cedar Rapids Titans,Northern Arizona Wranglers,205.8,136.3,Season
2018 Wk7,Los Angeles Wildcats,Cedar Rapids Titans,161.1,117.7,Season
2018 Wk7,Milwaukee Mustangs,Miami Inferno,162.5,149.5,Season
2018 Wk7,Philadelphia Soul,Vegas Knight Hawks,129,166.5,Season
2018 Wk7,Northern Arizona Wranglers,Tucson Sugar Skulls,204.8,136.8,Season
2018 Wk7,Chicago Slaughter,Cleveland Gladiators,160.8,138.3,Season
2018 Wk8,Los Angeles Wildcats,Miami Inferno,161.7,141.3,Season
2018 Wk8,Philadelphia Soul,Northern Arizona Wranglers,145.9,144.7,Season
2018 Wk8,Vegas Knight Hawks,Chicago Slaughter,155.4,212.1,Season
2018 Wk8,Cleveland Gladiators,Tucson Sugar Skulls,105.4,147,Season
2018 Wk8,Cedar Rapids Titans,Milwaukee Mustangs,178,143.8,Season
2018 Wk9,Vegas Knight Hawks,Cedar Rapids Titans,130,108.6,Season
2018 Wk9,Northern Arizona Wranglers,Chicago Slaughter,106.7,186.2,Season
2018 Wk9,Miami Inferno,Philadelphia Soul,159.3,112.3,Season
2018 Wk9,Cleveland Gladiators,Milwaukee Mustangs,167,167.5,Season
2018 Wk9,Tucson Sugar Skulls,Los Angeles Wildcats,208.8,192.5,Season
2018 Wk10,Cedar Rapids Titans,Cleveland Gladiators,181.2,151.2,Season
2018 Wk10,Philadelphia Soul,Milwaukee Mustangs,109.4,201.4,Season
2018 Wk10,Vegas Knight Hawks,Tucson Sugar Skulls,235.1,131.1,Season
2018 Wk10,Miami Inferno,Chicago Slaughter,133.7,124.6,Season
2018 Wk10,Northern Arizona Wranglers,Los Angeles Wildcats,127.3,170.3,Season
2018 Wk11,Tucson Sugar Skulls,Cedar Rapids Titans,127.7,148.8,Season
2018 Wk11,Milwaukee Mustangs,Los Angeles Wildcats,154.2,180,Season
2018 Wk11,Chicago Slaughter,Vegas Knight Hawks,132.4,143.3,Season
2018 Wk11,Cleveland Gladiators,Philadelphia Soul,120.9,127.2,Season
2018 Wk11,Miami Inferno,Northern Arizona Wranglers,139.7,189.8,Season
2018 Wk12,Milwaukee Mustangs,Tucson Sugar Skulls,165.5,103.7,Season
2018 Wk12,Cleveland Gladiators,Los Angeles Wildcats,173,143.8,Season
2018 Wk12,Northern Arizona Wranglers,Vegas Knight Hawks,179.9,168.9,Season
2018 Wk12,Philadelphia Soul,Chicago Slaughter,184.1,119.3,Season
2018 Wk12,Cedar Rapids Titans,Miami Inferno,150.4,143.6,Season
2018 Wk13,Tucson Sugar Skulls,Miami Inferno,130.9,127.1,Season
2018 Wk13,Vegas Knight Hawks,Milwaukee Mustangs,155.8,109.9,Season
2018 Wk13,Cleveland Gladiators,Northern Arizona Wranglers,158.1,147.2,Season
2018 Wk13,Chicago Slaughter,Cedar Rapids Titans,170.6,153.6,Season
2018 Wk13,Los Angeles Wildcats,Philadelphia Soul,188.5,86.4,Season
2018 Wk14,Chicago Slaughter,Tucson Sugar Skulls,155.4,168.6,Season
2018 Wk14,Philadelphia Soul,Cedar Rapids Titans,97.1,127.4,Season
2018 Wk14,Northern Arizona Wranglers,Milwaukee Mustangs,172.1,119.9,Season
2018 Wk14,Miami Inferno,Los Angeles Wildcats,149.3,113.6,Season
2018 Wk14,Vegas Knight Hawks,Cleveland Gladiators,129.4,174.8,Season
2018 Wk15,Milwaukee Mustangs,Cedar Rapids Titans,116.9,127.6,Playoffs
2018 Wk15,Vegas Knight Hawks,Chicago Slaughter,169.2,123,Playoffs
2018 Wk15,Los Angeles Wildcats,Tucson Sugar Skulls,111,125.8,Consolation
2018 Wk15,Northern Arizona Wranglers,Cleveland Gladiators,127.8,81.7,Consolation
2018 Wk15,Philadelphia Soul,Miami Inferno,111.8,124,Consolation
2018 Wk16,Vegas Knight Hawks,Cedar Rapids Titans,213.2,156.2,Playoffs
2018 Wk16,Milwaukee Mustangs,Chicago Slaughter,165.7,130.1,Consolation
2018 Wk16,Northern Arizona Wranglers,Tucson Sugar Skulls,164.4,124,Consolation
2018 Wk16,Miami Inferno,Los Angeles Wildcats,170.1,156.6,Consolation
2018 Wk16,Philadelphia Soul,Cleveland Gladiators,118.9,180.3,Consolation
2019 Wk1,Milwaukee Mustangs,Vegas Knight Hawks,89.3,131.4,Season
2019 Wk1,Cedar Rapids Titans,Northern Arizona Wranglers,107.7,110.7,Season
2019 Wk1,Tucson Sugar Skulls,Cleveland Gladiators,92.7,152.5,Season
2019 Wk1,Los Angeles Wildcats,Philadelphia Soul,149.6,129.1,Season
2019 Wk1,Miami Inferno,Chicago Slaughter,141,124.8,Season
2019 Wk1,Brooklyn Bolts,Boston Brawlers,143.6,132.2,Season
2019 Wk2,Cedar Rapids Titans,Vegas Knight Hawks,111.6,143.6,Season
2019 Wk2,Milwaukee Mustangs,Tucson Sugar Skulls,97.6,117.9,Season
2019 Wk2,Northern Arizona Wranglers,Cleveland Gladiators,132.2,98.5,Season
2019 Wk2,Miami Inferno,Philadelphia Soul,114.9,114,Season
2019 Wk2,Los Angeles Wildcats,Brooklyn Bolts,79.1,119.6,Season
2019 Wk2,Chicago Slaughter,Boston Brawlers,113.8,126.1,Season
2019 Wk3,Cedar Rapids Titans,Milwaukee Mustangs,143.2,122.1,Season
2019 Wk3,Vegas Knight Hawks,Cleveland Gladiators,137,115.9,Season
2019 Wk3,Northern Arizona Wranglers,Tucson Sugar Skulls,123.7,103.7,Season
2019 Wk3,Miami Inferno,Los Angeles Wildcats,138.9,184.5,Season
2019 Wk3,Philadelphia Soul,Boston Brawlers,114,125.4,Season
2019 Wk3,Chicago Slaughter,Brooklyn Bolts,156.8,140.9,Season
2019 Wk4,Vegas Knight Hawks,Milwaukee Mustangs,148.5,120.4,Season
2019 Wk4,Cedar Rapids Titans,Cleveland Gladiators,116,92.2,Season
2019 Wk4,Tucson Sugar Skulls,Northern Arizona Wranglers,113.6,145.7,Season
2019 Wk4,Philadelphia Soul,Los Angeles Wildcats,95.4,113.2,Season
2019 Wk4,Miami Inferno,Boston Brawlers,150.8,92,Season
2019 Wk4,Brooklyn Bolts,Chicago Slaughter,122.7,129.3,Season
2019 Wk5,Vegas Knight Hawks,Cedar Rapids Titans,154.8,93.7,Season
2019 Wk5,Milwaukee Mustangs,Northern Arizona Wranglers,132.6,109,Season
2019 Wk5,Cleveland Gladiators,Tucson Sugar Skulls,144.9,117.8,Season
2019 Wk5,Philadelphia Soul,Miami Inferno,117.4,159.1,Season
2019 Wk5,Los Angeles Wildcats,Chicago Slaughter,122.2,95.6,Season
2019 Wk5,Boston Brawlers,Brooklyn Bolts,134.6,181.9,Season
2019 Wk6,Milwaukee Mustangs,Cedar Rapids Titans,108.1,137.2,Season
2019 Wk6,Vegas Knight Hawks,Tucson Sugar Skulls,190.7,128,Season
2019 Wk6,Cleveland Gladiators,Northern Arizona Wranglers,102.7,108.9,Season
2019 Wk6,Los Angeles Wildcats,Miami Inferno,94.8,130.5,Season
2019 Wk6,Philadelphia Soul,Brooklyn Bolts,123.4,108,Season
2019 Wk6,Boston Brawlers,Chicago Slaughter,86.8,103.1,Season
2019 Wk7,Vegas Knight Hawks,Northern Arizona Wranglers,133.6,108.5,Season
2019 Wk7,Cedar Rapids Titans,Tucson Sugar Skulls,63.5,97,Season
2019 Wk7,Milwaukee Mustangs,Cleveland Gladiators,95.9,120.8,Season
2019 Wk7,Philadelphia Soul,Chicago Slaughter,140.1,86,Season
